Document ID,Complex,Simple
1,De gemeente en GVB hebben een onderzoek uit laten voeren naar de behoeften en kansen voor nieuwe vormen van vervoer.,We onderzochten in oktober 2019 de behoeften en kansen voor nieuwe vormen van vervoer.
1,"Bijvoorbeeld een deelauto -fiets, of -scooter voor bewoners uit de Eendracht.","Bijvoorbeeld een deelauto, deelfiets, of deelscooter voor bewoners uit de Eendracht."
1,Uit het bewonersonderzoek komt naar voren dat er behoefte is aan (openbaar) vervoer dat betrouwbaar en relatief dichtbij is en op welke manier gebruik kan worden gemaakt van vervoer in de Eendracht.,Uit het bewonersonderzoek blijkt dat bewoners (openbaar) vervoer willen dat betrouwbaar en relatief dichtbij is.
1,Ook komt naar voren dat verschillende bewoners niet bekend zijn met huidige vervoersalternatieven zoals de Buurtbus of niet weten hoe ze hiervan gebruik kunnen maken.,Of niet weten hoe ze dat kunnen gebruiken.
1,"Daarnaast geven de meeste bewoners aan buslijn 21 terug te willen in de buurt, of een betere verbinding met de dichtstbijzijnde bushalte.",Daarnaast willen de meeste bewoners buslijn 21 terug in de buurt. Of een betere verbinding met de dichtstbijzijnde bushalte.
2,Hygiënemaatregelen ten tijde van COVID-19 voor Horecavoorzieningen,Hygiënemaatregelen tijdens COVID-19 voor Horecavoorzieningen
3,Hygiënemaatregelen ten tijde van COVID-19 | voor gebedshuizen,Hygiënemaatregelen tijdens COVID-19 voor gebedshuizen
4,Hygiënemaatregelen ten tijde van COVID-19 voor vakantieverblijven,Hygiënemaatregelen tijdens COVID-19 voor vakantieverblijven
4,Zet een paar keer per dag even (30 minuten) een raam open.,Zet een paar keer per dag 30 minuten een raam open.
4,Desinfectie is niet nodig tijdens quarantaine periode.,Desinfectie is niet nodig tijdens de quarantaineperiode.
4,"Een medewerker plaatst het eten en drinken, schone wasgoed, schoonmaakmaterialen etc.","Een medewerker plaatst het eten en drinken, schone wasgoed, schoonmaakmaterialen enzovoort voor de deur en klopt op de deur."
4,"ma t/m vrij: 17:00 tot 08:00 uur, za en zo en nat.",maandag tot en met vrijdag: 17:00 tot 08:00 uur
4,"GGD Amsterdam: 020-55 55 202 ma t/m vrij: 09.00 - 18.00 uur, za en zo 10.00 -17.00 uur.",GGD Amsterdam: 0205 5 55 202 ma t/m vrij: 09.00 - 18.00 uur
4,Voeg 125 milliliter huishoudbleek toe (125 ml is ongeveer een koffiekopje).,Voeg 125 milliliter huishoudbleek toe.
4,"U neemt dan minimaal 1,5 meter afstand zodat de medewerker de vuile vaat, het wasgoed en","U neemt dan minimaal 1,5 meter afstand zodat de medewerker de vuile vaat, het wasgoed en afval kan meenemen."
4,"Laat de gast het eten en drinken, schone wasgoed etc.","Laat de gast het eten en drinken, schone wasgoed enzovoort pakken."
4,"Pak het vuile wasgoed (alleen in gesloten vuilniszak), de vuile vaat, afval etc.","Pak het vuile wasgoed (alleen in gesloten vuilniszak), de vuile vaat, afval enzovoort van de kamer dat bij de deur staat."
4,Pas direct hierna handhygiëne toe door ze te wassen met water en zeep of gebruik handalcohol.,Was daarna direct jouw handen met water en zeep of gebruik handalcohol.
5,Op 17 maart 2021 vindt de verkiezing voor de Tweede Kamer plaats.,Op 17 maart 2021 is de verkiezing voor de Tweede Kamer.
5,Alle Amsterdammers kiezen dan de leden van de Tweede Kamer.,Amsterdammers kiezen dan de leden van de Tweede Kamer.
5,"Door te stemmen, bepaalt u dus mee door wie en hoe Nederland wordt bestuurd.",Door te stemmen bepaalt u dus mee hoe we ons land besturen.
5,"Door het coronavirus worden er extra maatregelen genomen, zodat u coronaproof/veilig kunt stemmen.",Door het coronavirus hebben we extra maatregelen zodat u veilig kunt stemmen.
5,"In een publieke binnenruimte, zoals het stembureau, moet iedereen (stemmers en medewerkers) een mondkapje dragen.",Daarom moet iedereen in een stembureau een mondkapje dragen.
5,U heeft mogelijk geen (geldig) identiteitsbewijs,U hebt misschien geen (geldig) identiteitsbewijs
5,Volgens onze informatie heeft u op de verkiezingsdag geen (geldig) Nederlands(e) paspoort of identiteitskaart.,U hebt volgens onze informatie op de verkiezingsdag geen (geldig) Nederlands paspoort of Nederlande identiteitskaart.
5,"Dat hoeft geen probleem te zijn, mogelijk heeft u een ander identiteitsdocument waarmee u zich kunt identificeren.",Dat hoeft geen probleem te zijn. Misschien hebt u een ander identiteitsdocument waarmee u zich kunt identificeren.
5,Vraag op tijd een identiteitsbewijs aan,Op tijd een identiteitsbewijs aanvragen
5,Als u zelf komt stemmen heeft u hiervoor een stempas nodig en een geldig identiteitsbewijs.,U hebt om zelf te stemmen een stempas nodig en een geldig identiteitsbewijs.
5,De stempas wordt tussen 22 februari en 1 maart bij u thuisbezorgd.,De stempas ontvangt u tussen 22 februari en 1 maart 2021 bij u thuis.
5,"Heeft u geen identiteitsbewijs en wilt u zelf stemmen, vraag dan tijdig een Nederlands identiteitsbewijs aan bij een willekeurig Stadsloket.","Wilt u toch zelf stemmen, vraag dan op tijd een Nederlands identiteitsbewijs aan."
5,Houdt u er rekening mee dat u uw identiteitsbewijs pas na vijf werkdagen kunt ophalen.,Houdt u er rekening mee dat u uw identiteitsbewijs pas na 5 werkdagen kunt ophalen.
6,Recentelijk hebben beide de Gemeente Weesp en Amsterdam besloten dat zij in 2022 met de Gemeenteraadsverkiezingen één gemeente willen worden.,De gemeentes Weesp en Amsterdam besloten dat zij met de gemeenteraadsverkiezingen in 2022 één gemeente willen worden.
6,Dat betekent dat het gemeentebestuur van Weesp zal blijven bestaan tot de bestuurlijke fusie een feit is.,Het gemeentebestuur van Weesp blijft tot de bestuurlijke fusie bestaan.
6,Zolang de bestuurlijke fusie niet heeft plaatsgevonden moet de informatie die voortkomt uit de processen die worden uitgevoerd voor Weesp gescheiden gehouden worden van de informatie van Amsterdam.,Tot aan de bestuurlijke fusie moet de informatie uit de processen voor Weesp gescheiden blijven van de informatie van Amsterdam.
6,Uitgangspunt is dat medewerkers binnen de ambtelijke organisatie van Weesp en Amsterdam voor de werkzaamheden voor Weesp gebruik maken van de digitale werkomgeving van Weesp.,Uitgangspunt is dat alle medewerkers van Weesp en Amsterdam voor de werkzaamheden voor Weesp de digitale werkomgeving van Weesp gebruiken.
6,Dat betekent dat werkzaamheden voor Weesp zoveel mogelijk in Weesp moeten worden uitgevoerd.,Dat betekent dat werkzaamheden voor Weesp zoveel mogelijk in Weesp moeten gebeuren.
6,"In de praktijk zal dit echter niet altijd lukken, aangezien op termijn de ambtelijke organisaties steeds meer met elkaar verweven raken.","In de praktijk zal dit niet altijd lukken, omdat op termijn de ambtelijke organisaties steeds meer met elkaar verweven raken."
6,Omdat de informatie die voortkomt uit de processen van Weesp gescheiden moeten worden gehouden van de informatie van Amsterdam is het belangrijk om hier bij alle stappen in het proces over na te denken.,Om de informatie uit de processen van Weesp gescheiden te houden van de informatie van Amsterdam is het belangrijk om hier bij alle stappen in het proces over na te denken.
6,Hieronder is een aantal scenario’s geschetst waarin een korte toelichting wordt gegeven op de handelingen die verricht moeten worden.,Hieronder staan een aantal scenario’s met een korte toelichting over hoe je dat doet.
6,In deze situatie is het gewenst dat je werkt aan zaken die behoren tot de Gemeente Weesp als je daadwerkelijk in Weesp aanwezig bent.,Hierbij kun je het beste in Weesp werken aan zaken die bij de gemeente Weesp horen.
6,Hierdoor zal de informatie van de processen van Weesp ook in Weesp worden opgeslagen in Decos Join en kan de post verstuurd worden zoals dat in Weesp gangbaar is.,Hierdoor kun je de informatie van de processen van Weesp ook in Weesp opslaan in Decos Join.
6,Als je hier niet van op de hoogte bent kunt je dit navragen bij een van je collega’s uit Weesp of bij de afdeling Informatiebeheer/Postzaken.,Vraag het dan aan een van je collega’s uit Weesp of bij de afdeling Informatiebeheer/Postzaken.
