In 2018 zijn er 419 personen in detentie voorgelicht middels een groepsvoorlichting.	middels	met	door	via				
De openbare ruimte fungeert als het bindende element met meanderende  fiets- en wandelpaden.	fungeert	geldt	is	speelt	dient	werkt		
Het uitganspunt dat we denken, werken en handelen vanuit een gezamenlijk opgave.	opgave	uitdaging	opdracht	uitgangspunt	doel	resultaat	probleem	
In de planning zijn deze stappen in de tijd uitgezet.	uitgezet	aangegeven	geplaatst	gezet	opgenomen			
Dienstverlening zit momenteel in een belangrijke fase.	momenteel	nu	tegenwoordig					
Er wordt hierbij ook gerefereerd aan het Jongerenservicepunt in Nieuw-West dat helaas een aantal jaar geleden is opgeheven.	gerefereerd	gedacht	verwezen	gelinkt	herinnerd			
Na deze datum heeft wederom een beoordeling plaatsgevonden en zijn 5 gedoogverklaringen verlengd tot maart 2022.	wederom	nog	weer	alweer	opnieuw			
De nieuwbouw gaat in vormgeving en innovatieve bouwmethoden mee in de historische ontwikkelingen in het park.	innovatieve	vernieuwende	nieuwe					
De bebouwing aan de Klaprozenweg is zeer wisselend en de straat heeft geen verblijfskwaliteit.	verblijfskwaliteit	sfeer						
Wij gebruiken verschillende categorieën persoonsgegevens van de medewerkers::	categorieën	groepen	types	soorten	typen			
Kosten van de WAS organisatie, denk aan de salarisbegroting, de salarisrealisatie, overhead, functie toelagen etc.	overhead	bedrijfskosten	kosten					
Met betrekking tot voorliggende tekst:	voorliggende	de	deze	volgende	eerdere			
Tot slot moet de vertaalslag worden gemaakt in de procesbeschrijving en in instrumenten.	vertaalslag	aanpassing	bewerking	omzetting	vertaling	verandering	toepassing	omslag
maar ook van andere directies binnen het cluster Interne Dienstverlening (bijvo0rbeeld Financiën, Communicatie)	cluster	deel	pakket	netwerk				
Waarom denk je dat we regels hebben omtrent declaraties?	omtrent	rondom	voor	om	rond	betreffende	over	
Tijdens de tweede workshop stedenbouw werd stilgestaan bij de resultaten van een drietal onderzoeken:	drietal	paar	stel	drie	aantal			
In de Voorjaarsnota 2017 heeft Dienstverlening structureel € 8,8 miljoen toegewezen gekregen ter dekking van de gesignaleerde knelpunten.	structureel	jaarlijks	blijvend					
De gemeente bevordert hiermee de transitie naar uitstootvrij varen onder particulieren in Amsterdam.	transitie	verandering	overgang	stap				
Bijvoorbeeld om hun kansen op de arbeidsmarkt te vergroten of te werken aan hun zelfredzaamheid.	zelfredzaamheid	autonomie	toekomst	onafhankelijkheid	veiligheid			
We reflecteren op de uitvoering van het Leer- en Ontwikkelplan tot dan toe.	reflecteren	evalueren	kijken					
Deze belangrijke voorwaarde om het programma af te bouwen is in de derde voortgangsrapportage reeds benoemd.	reeds	eerder	al					
Hoewel het nieuwe systeem in het begin natuurlijk even wennen kan zijn.	Hoewel	terwijl						
Dit raakt ook aan het belang van het genereren en behouden van vertrouwen in de overheid.	genereren	opbouwen	bevorderen	maken	creëren			
Dit is na een relatief lange aanloopfase van het programma in de tweede helft van 2017 te ambitieus gebleken.	relatief	redelijk	vrij					
In 2018 zijn de samenwerkingsafspraken verder geïmplementeerd.	geïmplementeerd	ingegaan	uitgevoerd	ingevoerd	uitgebreid	toegepast	uitgewerkt	
De gemeente werkt nog uit wat de exacte venstertijden worden en beziet of daarin nog differentiatie nodig is.	beziet	kijkt						
Vaak werken ze flankerend, zij-aan-zij met de jongerenadviseurs en de intensieve jongerenschuldhulpverlening.	flankerend	helpend						
Veel ambtenaren, bestuurders en volksvertegenwoordigers zijn al bezig met deze manier van samenwerken.	bezig	begonnen						
Het verbeteren van het perspectief en motivatie tot gedragsverandering van de (ex-) gedetineerde zijn daarbij cruciaal.	cruciaal	belangrijk	noodzakelijk	essentieel	beslissend			
Deel 1 met de meeste prioriteit zijn direct na vaststelling van Deel 1 uitgewerkt:	prioriteit	voorrang						
Daarnaast bieden we leerinterventies aan die het strategisch vermogen van de (beleids)adviseur vergroten.	vermogen	talent	succes	kunnen	ervaring	belang		
Deze begon met een kick-off in de Vondeltuin, met bewoners en exploitant.	kick-off	start	aftrap					
Waar nodig mèt de expertise van de Treiteraanpak.	expertise	kennis	ervaring	deskundigheid				
Ook dit is een leerontwikkeling die de volle aandacht heeft van DVL en wordt meegenomen in de P&C-cyclus 2019.	meegenomen	vermeld	opgenomen	beschreven	verwerkt			
De lagere lasten komen vooral het temporiseren in investeringen bij de 152 grondexploitaties en 38 gebiedsontwikkelingsprojecten.	temporiseren	snijden	verlagen	uitstellen				
In de gesprekscyclus kunnen jullie samen de gemaakte afspraken evalueren en controleren op actualiteit.	evalueren	bekijken	beoordelen	controleren	analyseren	onderzoeken		
Woningtypen en financieringscategorieën worden waar mogelijk op kavelniveau gemengd, zodat er een gedifferentieerde samenstelling van bewoners ontstaat;	gedifferentieerde	gemengde						
‘Compensatie voor armoede’ past hier ook onder.	Compensatie	vergoeding	hulp	actie				
Deze visie beschrijft een aantal randvoorwaarden voor het maken van een stadstraat:	randvoorwaarden	voorwaarden	eisen					
Het is niet mogelijk om technische middelen als een beamer te gebruiken.	middelen	zaken	apparatuur	voorzieningen	spullen			
Per stadsdeel is een analyse gemaakt van het bereikte potentieel jongeren.	potentieel	mogelijke	aantal	aandeel				
